id,name
0,This video shows bad, cruel or violent behavior against children, old people, animals, and women.
1,This video shows police arresting individuals.
2,This video shows people deliberately setting fire to property.
3,This video shows a sudden or violent physical attack on someone.
4,This video shows traffic accidents involving vehicles, pedestrians or cyclists.
5,This video shows people (thieves) entering into a building or house with the intention to commit theft.
6,This video shows destructive event of something blowing apart.
7,This video displays two or more people attacking one another.
8,This video shows thieves taking money unlawfully by force or threat of force.
9,This video shows act of shooting someone with a gun.
10,This video shows people taking property or money without permission.
11,This video shows people stealing goods from a shop while posing as a shopper.
12,This video shows action involving deliberate destruction of or damage to public or private property.
13,This video include both indoor (such as a shopping mall) or outdoor scenes as well as day and night-time scenes.
