id,name
0,"abuse, children, old people, animals, women, shouting, name-calling, threatening, belittling, confronting, bruises, hitting, slapping, kicking, throwing, yelling, stealing, misusing, withholding, manipulating, touching, groping, forcing, threatening, coercing,gaslighting, manipulating, controlling, criticizing, threatening"
1,"arrest: This video shows police arresting individuals."
2,"arson: This video shows people deliberately setting fire to property."
3,"assault: This video shows a sudden or violent physical attack on someone."
4,"road accidents: This video shows traffic accidents involving vehicles, pedestrians or cyclists."
5,"burglary: This video shows people (thieves) entering into a building or house with the intention to commit theft."
6,"explosion: This video shows destructive event of something blowing apart."
7,"fighting: This video displays two or more people attacking one another."
8,"robbery: This video shows thieves taking money unlawfully by force or threat of force."
9,"shooting: This video shows act of shooting someone with a gun."
10,"stealing: This video shows people taking property or money without permission."
11,"shoplifting: This video shows people stealing goods from a shop while posing as a shopper."
12,"vandalism: This video shows action involving deliberate destruction of or damage to public or private property."
13,"daily video: This video include both indoor (such as a shopping mall) or outdoor scenes as well as day and night-time scenes."
