id,name
0,"abuse: This video shows bad, cruel or violent behavior against children, old people, animals, and women."
1,arrest: This video shows police arresting individuals.
2,arson: This video shows people deliberately setting fire to property.
3,assault: This video shows a sudden or violent physical attack on someone.
4,"road accidents: This video shows traffic accidents involving vehicles, pedestrians or cyclists."
5,burglary: This video shows people (thieves) entering into a building or house with the intention to commit theft.
6,explosion: This video shows destructive event of something blowing apart.
7,fighting: This video displays two or more people attacking one another.
8,robbery: This video shows thieves taking money unlawfully by force or threat of force.
9,shooting: This video shows act of shooting someone with a gun.
10,stealing: This video shows people taking property or money without permission.
11,shoplifting: This video shows people stealing goods from a shop while posing as a shopper.
12,vandalism: This video shows action involving deliberate destruction of or damage to public or private property.
13,air drumming
13,answering questions
13,archery
13,arm wrestling
13,assembling computer
13,baking cookies
13,bartending
13,blasting sand
13,blowing leaves
13,bobsledding
13,bookbinding
13,bowling
13,breakdancing
13,building cabinet
13,building shed
13,busking
13,capoeira
13,carrying baby
13,cartwheeling
13,catching or throwing frisbee
13,changing oil
13,changing wheel
13,checking tires
13,chopping wood
13,cleaning floor
13,cleaning gutters
13,cleaning pool
13,cleaning windows
13,climbing ladder
13,counting money
13,country line dancing
13,crawling baby
13,dancing ballet
13,dancing macarena
13,dining
13,dodgeball
13,doing laundry
13,drinking beer
13,drinking shots
13,driving car
13,drop kicking
13,eating burger
13,extinguishing fire
13,faceplanting
13,feeding birds
13,folding clothes
13,garbage collecting
13,getting a haircut
13,golf driving
13,headbanging
13,headbutting
13,high kick
13,hitting baseball
13,hockey stop
13,hopscotch
13,jogging
13,juggling fire
13,kicking soccer ball
13,laying bricks
13,making bed
13,making pizza
13,mopping floor
13,motorcycling
13,moving furniture
13,mowing lawn
13,opening bottle
13,plastering
13,playing accordion
13,playing bagpipes
13,playing basketball
13,playing chess
13,playing clarinet
13,playing cricket
13,playing didgeridoo
13,playing harp
13,playing keyboard
13,playing organ
13,playing paintball
13,playing trombone
13,pull ups
13,pumping gas
13,punching bag
13,pushing car
13,pushing cart
13,pushing wheelchair
13,reading book
13,reading newspaper
13,riding a bike
13,riding scooter
13,riding unicycle
13,ripping paper
13,robot dancing
13,running on treadmill
13,salsa dancing
13,setting table
13,sharpening pencil
13,shoveling snow
13,shredding paper
13,situp
13,slapping
13,smoking
13,snatch weight lifting
13,snowkiting
13,spray painting
13,squat
13,stretching arm
13,stretching leg
13,sweeping floor
13,swing dancing
13,sword fighting
13,tai chi
13,taking a shower
13,tasting beer
13,testifying
13,texting
13,throwing ball
13,trimming trees
13,unloading truck
13,using computer
13,waiting in line
13,walking the dog
13,washing dishes
13,washing feet
13,welding
13,writing
13,yoga
